title,date,url,content,class
A expansão da agricultura industrial leva a poluição na fertilidade do solo.,,,A expansão da agricultura industrial leva a poluição na fertilidade do solo.,0
Artista plástico apresenta exposição internacional.,,,Artista plástico apresenta exposição internacional.,2
Dados oficiais mostram redução de 12% nas taxas de desmatamento na região amazônica.,,,Dados oficiais mostram redução de 12% nas taxas de desmatamento na região amazônica.,1
A falta de infraestrutura de gestão de resíduos resulta em crescimento da poluição plástica nos oceanos.,,,A falta de infraestrutura de gestão de resíduos resulta em crescimento da poluição plástica nos oceanos.,0
A moda verão deste ano traz cores vibrantes e estampas florais.,,,A moda verão deste ano traz cores vibrantes e estampas florais.,2
Programa de reflorestamento alcança proteção de áreas degradadas.,,,Programa de reflorestamento alcança proteção de áreas degradadas.,1
Novo relatório indica crescimento na emissão de gases poluentes.,,,Novo relatório indica crescimento na emissão de gases poluentes.,0
Festival de cinema atrai celebridades internacionais.,,,Festival de cinema atrai celebridades internacionais.,2
A recuperação de áreas degradadas leva a recuperação na qualidade do solo.,,,A recuperação de áreas degradadas leva a recuperação na qualidade do solo.,1
Esforços de conservação falhos levaram a poluição em áreas protegidas.,,,Esforços de conservação falhos levaram a poluição em áreas protegidas.,0
Artista plástico apresenta exposição internacional.,,,Artista plástico apresenta exposição internacional.,2
Pesquisa revela baixa na emissão de gases do efeito estufa.,,,Pesquisa revela baixa na emissão de gases do efeito estufa.,1
Esforços de conservação falhos levaram a devastação em áreas protegidas.,,,Esforços de conservação falhos levaram a devastação em áreas protegidas.,0
Competição internacional de esportes será realizada.,,,Competição internacional de esportes será realizada.,2
Iniciativas verdes contribuem para diminuição nas emissões de carbono.,,,Iniciativas verdes contribuem para diminuição nas emissões de carbono.,1
"Eventos climáticos extremos estão se tornando mais frequentes, levando a destruição nas comunidades afetadas.",,,"Eventos climáticos extremos estão se tornando mais frequentes, levando a destruição nas comunidades afetadas.",0
A moda verão deste ano traz cores vibrantes e estampas florais.,,,A moda verão deste ano traz cores vibrantes e estampas florais.,2
Comunidades locais lideram com aumento em iniciativas de restauração ecológica.,,,Comunidades locais lideram com aumento em iniciativas de restauração ecológica.,1
A poluição do ar nas cidades está ligada a elevação em doenças respiratórias.,,,A poluição do ar nas cidades está ligada a elevação em doenças respiratórias.,0
O mercado de ações registrou uma alta histórica hoje.,,,O mercado de ações registrou uma alta histórica hoje.,2
A reciclagem de materiais plásticos leva a queda da poluição.,,,A reciclagem de materiais plásticos leva a queda da poluição.,1
Incêndios florestais causam devastação em vasta área de mata nativa.,,,Incêndios florestais causam devastação em vasta área de mata nativa.,0
Nova tendência de moda toma conta das passarelas.,,,Nova tendência de moda toma conta das passarelas.,2
A implementação de políticas ambientais rigorosas resultou em uma redução significativa das emissões de carbono.,,,A implementação de políticas ambientais rigorosas resultou em uma redução significativa das emissões de carbono.,1
A Mata Atlântica registra acréscimo em atividades de extração ilegal de madeira.,,,A Mata Atlântica registra acréscimo em atividades de extração ilegal de madeira.,0
Chef famoso inaugura restaurante de culinária contemporânea.,,,Chef famoso inaugura restaurante de culinária contemporânea.,2
A recuperação de rios poluídos promove proteção na qualidade da água.,,,A recuperação de rios poluídos promove proteção na qualidade da água.,1
A Mata Atlântica registra alta em atividades de extração ilegal de madeira.,,,A Mata Atlântica registra alta em atividades de extração ilegal de madeira.,0
Restaurante gourmet inaugura nova filial.,,,Restaurante gourmet inaugura nova filial.,2
Campanha de conscientização resulta em redução do uso de plásticos.,,,Campanha de conscientização resulta em redução do uso de plásticos.,1
A sobrepesca está levando à degradação dos estoques de peixes nos oceanos.,,,A sobrepesca está levando à degradação dos estoques de peixes nos oceanos.,0
Novo modelo de smartphone é lançado no mercado.,,,Novo modelo de smartphone é lançado no mercado.,2
Novo projeto de lei propõe recuperação na proteção de áreas verdes.,,,Novo projeto de lei propõe recuperação na proteção de áreas verdes.,1
Amazônia registra crescimento do desmatamento em relação ao ano passado.,,,Amazônia registra crescimento do desmatamento em relação ao ano passado.,0
Cantora lança novo álbum após hiato de três anos.,,,Cantora lança novo álbum após hiato de três anos.,2
Programa de reflorestamento alcança melhoria de áreas degradadas.,,,Programa de reflorestamento alcança melhoria de áreas degradadas.,1
A expansão da agricultura industrial leva a contaminação na fertilidade do solo.,,,A expansão da agricultura industrial leva a contaminação na fertilidade do solo.,0
Time de futebol conquista campeonato nacional.,,,Time de futebol conquista campeonato nacional.,2
Comunidades locais lideram com crescimento em iniciativas de restauração ecológica.,,,Comunidades locais lideram com crescimento em iniciativas de restauração ecológica.,1
A poluição do ar nas cidades está ligada a acréscimo em doenças respiratórias.,,,A poluição do ar nas cidades está ligada a acréscimo em doenças respiratórias.,0
Celebridade lança linha de moda sustentável.,,,Celebridade lança linha de moda sustentável.,2
Estratégias de monitoramento levam a queda do desmatamento ilegal.,,,Estratégias de monitoramento levam a queda do desmatamento ilegal.,1
Incêndios florestais causam contaminação em vasta área de mata nativa.,,,Incêndios florestais causam contaminação em vasta área de mata nativa.,0
Cantora lança novo álbum após hiato de três anos.,,,Cantora lança novo álbum após hiato de três anos.,2
A preservação de áreas verdes urbanas resulta em conservação na qualidade de vida da população.,,,A preservação de áreas verdes urbanas resulta em conservação na qualidade de vida da população.,1
Desmatamento ilegal leva a destruição de espécies endêmicas.,,,Desmatamento ilegal leva a destruição de espécies endêmicas.,0
Nova tendência de moda toma conta das passarelas.,,,Nova tendência de moda toma conta das passarelas.,2
A preservação de áreas verdes urbanas resulta em melhoria na qualidade de vida da população.,,,A preservação de áreas verdes urbanas resulta em melhoria na qualidade de vida da população.,1
Poluição de rios atinge degradação crítico em várias cidades.,,,Poluição de rios atinge degradação crítico em várias cidades.,0
Universidade desenvolve pesquisa em inteligência artificial.,,,Universidade desenvolve pesquisa em inteligência artificial.,2
Projetos de reflorestamento promovem conservação na recuperação de áreas degradadas.,,,Projetos de reflorestamento promovem conservação na recuperação de áreas degradadas.,1
Áreas urbanas relatam crescimento nos níveis de poluição do ar devido a emissões industriais.,,,Áreas urbanas relatam crescimento nos níveis de poluição do ar devido a emissões industriais.,0
A nova série de TV está fazendo sucesso entre os jovens.,,,A nova série de TV está fazendo sucesso entre os jovens.,2
Estratégias de monitoramento levam a declínio do desmatamento ilegal.,,,Estratégias de monitoramento levam a declínio do desmatamento ilegal.,1
Incêndios florestais causam destruição em vasta área de mata nativa.,,,Incêndios florestais causam destruição em vasta área de mata nativa.,0
Economia do país cresce 2% no último trimestre.,,,Economia do país cresce 2% no último trimestre.,2
Comunidades locais lideram com alta em iniciativas de restauração ecológica.,,,Comunidades locais lideram com alta em iniciativas de restauração ecológica.,1
O desmatamento desenfreado está causando uma destruição devastadora na biodiversidade.,,,O desmatamento desenfreado está causando uma destruição devastadora na biodiversidade.,0
Escritor renomado lança livro de memórias.,,,Escritor renomado lança livro de memórias.,2
